Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2019-10-09,101.37047576904297,101.84949905209157,100.73177805831148,101.44304978887996,2741357
2019-10-08,100.43423461914062,101.95113051219413,100.33988257557398,101.784204428978,3373768
2019-10-07,102.53900146484375,103.56961055397987,102.49545704925542,103.25027325562299,2538119
2019-10-04,103.78009796142578,103.83090557425555,102.35755430645057,103.10511894082273,2524626
2019-10-03,103.07606506347656,103.112346277777,101.01483568002325,102.78574584483117,3063525
2019-10-02,102.83655548095703,103.25750793068772,102.02366860308611,103.19944871942572,3494477
2019-10-01,104.26636505126953,106.94451451465405,104.17927622217123,105.66713059958363,3096997
2019-09-30,105.54373931884766,106.37839264960265,104.31716312489064,104.31716312489064,4171866
2019-09-27,103.9615478515625,105.30425439836365,103.3373763896115,104.81072778530252,2465213
2019-09-26,104.18653869628906,104.42605037734698,102.63336174307933,103.91074579134484,2416051
2019-09-25,103.9034652709961,104.24459212375939,102.23415856118208,102.87285627083834,2642928
2019-09-24,102.82930755615234,103.70751696911435,102.38657704443924,103.4244608961216,3380254
2019-09-23,103.11236572265625,103.22123255416825,102.01643421288229,102.4736795388497,1901523
2019-09-20,102.9744644165039,104.38974474335011,102.93092000276448,103.9687922424517,5432296
2019-09-19,103.76559448242188,105.26071233032862,103.38818631856279,103.39543793030543,3232035
2019-09-18,103.2212142944336,103.27928508926517,101.98012336751061,103.09783267948225,2074846
2019-09-17,103.20671081542969,103.40992965953592,102.08900138082456,103.40992965953592,3068127
2019-09-16,103.40991973876953,104.25183622704647,103.25750851632206,103.46799053440145,2017211
2019-09-13,104.27362823486328,104.98488842455195,103.97605735941175,104.74538835253546,2308104
2019-09-12,104.23735809326172,104.54219222943328,102.97448870860843,104.53492903340897,2620648
2019-09-11,104.22284698486328,105.32604193658902,103.57689746160341,105.13007464551288,4047706
2019-09-10,105.27519989013672,105.57277074354228,103.75830443152194,103.78734562310896,5208766
2019-09-09,103.49701690673828,103.8018509261502,101.94384037287048,102.03819238077891,4421024
2019-09-06,102.02369689941406,102.72045396396636,101.94387125380939,102.71320235256766,2695333
2019-09-05,102.31398010253906,102.84379932540374,100.19469162704067,100.37613244055554,5242134
2019-09-04,98.93910217285156,99.01893939674166,98.08993390569202,98.4963716360182,2351303
2019-09-03,97.32784271240234,97.90846955703455,96.76898227921926,97.87217675923249,2957983
2019-08-30,98.36573028564453,98.75765317791029,97.51656208839505,98.40201150512185,3096788
2019-08-29,97.89398193359375,98.48186055057842,97.2843137310301,97.38592895947183,3108503
2019-08-28,96.35531616210938,96.4496681974783,94.38117503067458,94.67149433213756,2838426
2019-08-27,95.2012939453125,95.58595941015874,94.5771226361759,95.22306615078969,4945488
2019-08-26,94.34488677978516,95.29566452437072,93.74248755878023,95.11421785934094,2964259
2019-08-23,94.04004669189453,97.44397689773719,93.50296416729856,96.98673738282066,5040046
2019-08-22,97.48753356933594,98.47460991467003,97.11738862786827,97.75607486539901,2818865
2019-08-21,97.43673706054688,98.66331349890918,97.11013074811919,97.9520416483932,2934762
2019-08-20,96.52948760986328,98.18427372905411,96.39158538791861,98.15524412107449,3157456
2019-08-19,98.01009368896484,98.9463623463432,97.89397524615627,97.89397524615627,3310695
2019-08-16,97.08106994628906,97.68346897111672,96.49317993119357,96.55850233109747,3150552
2019-08-15,95.74565124511719,96.0722575547489,94.53358962354616,95.23760406482769,3910889
2019-08-14,95.25938415527344,97.37142186182967,95.06342267009079,97.1899693921166,5349453
2019-08-13,98.55445098876953,99.12056321596278,96.39160572936659,97.11013501465877,4730117
2019-08-12,97.01576232910156,98.61248922946078,96.66012646390804,98.46007799582122,4271759
2019-08-09,98.80120849609375,101.1092132746597,98.23509630211403,101.08017207821388,5485852
2019-08-08,101.68257141113281,101.9148198814492,99.9842349238723,100.48502467000667,5503111
2019-08-07,99.78826904296875,100.12541188027171,97.8514637583831,99.5228550702599,6204767
2019-08-06,100.9503402709961,102.19850259619044,99.93173319924749,101.88287270955742,5303952
2019-08-05,100.97188568115234,104.08511353179577,99.81697635930549,103.99902743154134,7442185
2019-08-02,105.62739562988281,109.71619397876276,104.43661598826061,106.90424993398328,8474378
